City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint George,37.1041,-113.5841,53.44,36,100,8.99,US,1675718339
1,Villazon,-22.0866,-65.5942,55.96,53,99,15.39,BO,1675718452
2,A Coruna,43.3713,-8.396,47.79,66,0,5.75,ES,1675718454
3,Bluff,-46.6,168.3333,58.01,87,85,24.43,NZ,1675718455
4,Luderitz,-26.6481,15.1594,64.67,91,8,14.38,NA,1675718456
5,Puerto Ayora,-0.7393,-90.3518,85.96,74,51,15.01,EC,1675718457
6,Hermanus,-34.4187,19.2345,71.8,91,12,6.91,ZA,1675718458
7,Sanok,49.5557,22.2056,18.27,99,72,0.78,PL,1675718458
8,Hamilton,39.1834,-84.5333,49.42,51,0,4.61,US,1675717920
9,Salalah,17.0151,54.0924,71.69,56,0,4.61,OM,1675718459
10,Tuktoyaktuk,69.4541,-133.0374,-38.2,67,75,2.3,CA,1675718296
11,Vao,-22.6667,167.4833,78.51,70,40,16.24,NC,1675717890
12,Yellowknife,62.456,-114.3525,-8.88,70,75,4.61,CA,1675718459
13,Karmaskaly,54.3709,56.1837,-2.29,97,100,1.45,RU,1675718459
14,Codrington,-38.2667,141.9667,59.85,78,47,6.06,AU,1675718460
15,Avarua,-21.2078,-159.775,84.25,79,75,11.5,CK,1675718460
16,Ahipara,-35.1667,173.1667,69.15,67,11,8.41,NZ,1675718461
17,Yaan,7.3833,8.5667,87.01,14,81,2.59,NG,1675718462
18,Te Horo,-40.8084,175.1233,64.33,84,70,10.56,NZ,1675718462
19,Lompoc,34.6391,-120.4579,64.78,60,20,21.85,US,1675718463
20,Arraial Do Cabo,-22.9661,-42.0278,80.46,74,75,5.75,BR,1675718463
21,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,80.56,86,92,0.29,BR,1675718463
22,Hobart,-42.8794,147.3294,59.05,67,20,8.05,AU,1675718464
23,Maragogi,-9.0122,-35.2225,78.82,74,100,9.15,BR,1675718332
24,Cherskiy,68.75,161.3,-36.92,100,100,5.64,RU,1675718465
25,Mar Del Plata,-38.0023,-57.5575,71.62,62,0,18.41,AR,1675718466
26,Clyde River,70.4692,-68.5914,-27.17,68,20,6.91,CA,1675718466
27,Rikitea,-23.1203,-134.9692,78.57,74,60,7.54,PF,1675718467
28,Verkhoyansk,67.5447,133.385,-53.3,100,89,1.34,RU,1675718467
29,Dikson,73.5069,80.5464,-20.06,100,100,6.04,RU,1675718468
30,Atkinson,42.8384,-71.147,44.78,60,100,5.01,US,1675718468
31,Kapaa,22.0752,-159.319,79.12,76,40,16.11,US,1675718364
32,Denpasar,-8.65,115.2167,78.46,94,75,21.85,ID,1675718470
33,Mataura,-46.1927,168.8643,66.69,52,63,10.56,NZ,1675718471
34,Longyearbyen,78.2186,15.6401,28.24,93,100,35.68,SJ,1675718472
35,Ushuaia,-54.8,-68.3,53.26,76,75,13.8,AR,1675718473
36,Palmer,42.1584,-72.3287,43.97,58,75,18.41,US,1675718271
37,Sao Marcos,-28.9711,-51.0681,81.19,50,76,4.45,BR,1675718474
38,Port Alfred,-33.5906,26.891,74.71,91,100,1.54,ZA,1675718474
39,Punta Arenas,-53.15,-70.9167,59.11,63,75,19.57,CL,1675718303
40,Atuona,-9.8,-139.0333,78.1,76,5,14.63,PF,1675718475
41,Port Augusta,-32.5,137.7667,71.26,46,0,6.96,AU,1675718383
42,Dingle,10.9995,122.6711,74.25,92,100,6.98,PH,1675718475
43,Saskylakh,71.9167,114.0833,-25.13,100,98,3.15,RU,1675718476
44,Souillac,-20.5167,57.5167,79.18,89,75,11.5,MU,1675718477
45,Chuy,-33.6971,-53.4616,77.56,56,100,9.1,UY,1675718478
46,Leamington,42.0549,-82.6062,31.91,69,19,5.01,CA,1675718342
47,Nanortalik,60.1432,-45.2371,11.79,84,100,15.03,GL,1675717779
48,Tiksi,71.6872,128.8694,-31.95,100,90,5.19,RU,1675718480
49,Tura,25.5198,90.2201,57.11,53,0,3.22,IN,1675718481
50,Lagoa,39.05,-27.9833,55.9,73,100,26.73,PT,1675718481
51,Rivadavia,-33.1905,-68.4608,96.44,15,12,12.84,AR,1675718357
52,Rio Grande,-32.035,-52.0986,87.91,65,0,11.01,BR,1675718241
53,Kaitangata,-46.2817,169.8464,67.39,48,13,10.04,NZ,1675718482
54,Goderich,43.7501,-81.7165,27.91,80,48,3.49,CA,1675717966
55,Nyanguge,-2.55,33.2,69.03,73,100,11.23,TZ,1675718483
56,Hithadhoo,-0.6,73.0833,81.18,71,63,11.95,MV,1675718483
57,Dunedin,-45.8742,170.5036,66.6,57,3,5.41,NZ,1675718483
58,Port Hardy,50.6996,-127.4199,44.78,100,100,11.5,CA,1675718484
59,Tautira,-17.7333,-149.15,80.38,75,43,14.94,PF,1675718487
60,Albany,42.6001,-73.9662,36.57,70,88,7.92,US,1675718315
61,Dawei,14.0833,98.2,71.64,88,44,2.64,MM,1675718489
62,General Roca,-39.0333,-67.5833,94.62,19,33,3.58,AR,1675718490
63,Foumban,5.7291,10.9001,70.36,22,33,2.84,CM,1675718490
64,Aklavik,68.2191,-135.0107,-29.2,68,75,2.3,CA,1675718491
65,Vardo,70.3705,31.1107,31.98,93,75,20.71,NO,1675718492
66,Sikasso,10.9167,-7.0,83.41,15,100,2.57,ML,1675718492
67,Jamestown,42.097,-79.2353,30.02,93,100,5.75,US,1675718266
68,Benguela,-12.5763,13.4055,76.42,80,89,6.2,AO,1675718493
69,Kodiak,57.79,-152.4072,36.91,60,0,4.61,US,1675718493
70,Fortuna,40.5982,-124.1573,54.93,68,0,9.22,US,1675718493
71,Torbay,47.6666,-52.7314,38.57,96,100,8.05,CA,1675718494
72,Karratha,-20.7377,116.8463,85.26,66,3,3.67,AU,1675718494
73,Cidreira,-30.1811,-50.2056,78.01,65,12,8.63,BR,1675718495
74,Ewa Beach,21.3156,-158.0072,82.35,65,20,18.41,US,1675718497
75,Port-Cartier,50.0334,-66.8654,13.68,76,85,5.14,CA,1675718497
76,Eha Amufu,6.6592,7.7596,86.04,32,65,1.43,NG,1675718498
77,Nikolskoye,59.7035,30.7861,28.29,96,94,3.51,RU,1675718499
78,Faanui,-16.4833,-151.75,81.1,75,8,15.55,PF,1675718500
79,Sola,-13.8833,167.55,79.47,94,100,0.0,VU,1675718502
80,Biryukove,47.9563,39.7384,18.23,84,100,16.89,UA,1675718503
81,Hofn,64.2539,-15.2082,36.93,71,40,32.48,IS,1675718504
82,Nerchinskiy Zavod,51.3088,119.61,-30.5,100,89,1.66,RU,1675718505
83,East London,-33.0153,27.9116,75.63,84,1,18.14,ZA,1675718506
84,Baixo Guandu,-19.5189,-41.0158,85.01,66,73,2.21,BR,1675718506
85,Barrow,71.2906,-156.7887,-7.58,71,100,6.91,US,1675718507
86,Bambous Virieux,-20.3428,57.7575,79.05,89,75,11.5,MU,1675718508
87,Busselton,-33.65,115.3333,66.58,76,97,11.68,AU,1675718509
88,Storforshei,66.4043,14.5233,44.38,87,75,13.8,NO,1675718509
89,Igarka,67.4667,86.5833,-7.46,100,100,5.55,RU,1675718510
90,Bethel,41.3712,-73.414,46.71,64,100,11.5,US,1675718277
91,Pisco,-13.7,-76.2167,80.65,74,0,18.41,PE,1675718510
92,San Quintin,30.4833,-115.95,61.23,55,15,16.82,MX,1675718511
93,Beringovskiy,63.05,179.3167,-20.15,94,95,8.48,RU,1675718511
94,Saldanha,-33.0117,17.9442,66.25,97,69,16.84,ZA,1675718511
95,Saint-Pierre,-21.3393,55.4781,80.28,78,0,10.36,RE,1675718512
96,Hilo,19.7297,-155.09,78.28,87,75,3.44,US,1675718512
97,Bengkulu,-3.8004,102.2655,75.45,84,82,6.04,ID,1675718513
98,Butler,39.4501,-84.5666,48.02,54,0,8.05,US,1675718051
99,Mount Isa,-20.7333,139.5,76.77,94,100,9.22,AU,1675718514
100,Muroto,33.2833,134.15,52.9,64,100,17.31,JP,1675718514
101,Moerai,-22.4333,-151.3333,79.45,76,94,10.29,PF,1675718515
102,Coihaique,-45.5752,-72.0662,66.15,42,0,10.36,CL,1675718515
103,Lerwick,60.1545,-1.1494,48.2,77,100,23.58,GB,1675718255
104,Faya,18.3851,42.4509,52.32,61,99,3.18,SA,1675717944
105,Krasnoselkup,65.7,82.4667,-5.28,99,99,4.72,RU,1675718516
106,Isangel,-19.55,169.2667,86.11,79,75,2.3,VU,1675718516
107,Beyneu,45.3167,55.2,35.2,84,100,17.05,KZ,1675718378
108,Derzhavinsk,51.1,66.3167,4.21,97,91,7.25,KZ,1675718517
109,Sao Filipe,14.8961,-24.4956,69.06,61,8,16.69,CV,1675718518
